,Anchorage,Atlanta,Austin,Baltimore,Boston,Chicago,Dallas,Denver,Honolulu,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Miami,New Orleans,New York City,Newark,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Tampa,Tucson,Washington DC
Anchorage,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,2475.54,1.00E+12,1.00E+12,1.00E+12,1.00E+12,2307.09,1.00E+12,1.00E+12,1.00E+12
Atlanta,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,944.4,1157.42,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,3108.01,1.00E+12,973.84,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,871.28
Austin,1.00E+12,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
Baltimore,1.00E+12,1.00E+12,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
Boston,1.00E+12,1.00E+12,1.00E+12,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
Chicago,1.00E+12,944.4,1.00E+12,1.00E+12,1.00E+12,0,1290.15,1474.26,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,2799.8,773.11,1.00E+12,1.00E+12,1144.97,1.00E+12,1.00E+12,1.00E+12,2820.86,1.00E+12,1.00E+12,1.00E+12,1.00E+12,2786.57,1.00E+12,1.00E+12,955.76
Dallas,1.00E+12,1157.42,1.00E+12,1.00E+12,1.00E+12,1290.15,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,675.22,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1899.38,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
Denver,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1474.26,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1334.99,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1523.82,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
Honolulu,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,4116.99,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,3851.23,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
Houston,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,0,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12,1.00E+12
