City,Latitude,Longitude
Anchorage,61.218056,-149.900278
Atlanta,33.748995,-84.387982
Austin,30.267153,-97.743061
Baltimore,39.290385,-76.612189
Boston,42.360082,-71.05888
Chicago,41.878114,-87.629798
Dallas,32.776664,-96.796988
Denver,39.7392,-104.9903
Honolulu,21.306944,-157.858333
Houston,29.760427,-95.369803
Indianapolis,39.768403,-86.158068
Jacksonville,30.332184,-81.655651
Las Vegas,36.169941,-115.13983
Los Angeles,34.052234,-118.243685
Memphis,35.149534,-90.04898
Miami,25.76168,-80.19179
New Orleans,29.951066,-90.071532
New York City,40.712775,-74.005973
Newark,40.735657,-74.172367
Philadelphia,39.952584,-75.165222
Phoenix,33.448377,-112.074037
Portland,45.523062,-122.676482
San Antonio,29.424122,-98.493628
San Diego,32.715738,-117.161084
San Francisco,37.774929,-122.419416
San Jose,37.338208,-121.886329
Seattle,47.606209,-122.332071
Tampa,27.950575,-82.457178
Tucson,32.222607,-110.974711
Washington DC,38.9072,-77.0369
